Datum,Ort,Meldung,Status,Jahr,id
20.04.2025,Vorderweißenbach,Wolfssichtung,Fotonachweis vorhanden,2025,1
20.04.2025,Wallern an der Trattnach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,2
19.04.2025,Pabneukirchen,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,3
15.04.2025,St.Oswald bei Freistadt,Wolfssichtung,Fotonachweis vorhanden,2025,4
11.04.2025,Gaflenz,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,5
09.04.2025,Leopoldschlag,Wolfssichtung,Fotonachweis vorhanden,2025,6
05.04.2025,St.Martin im Mühlkreis,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,7
04.04.2025,Ulrichsberg,Wolfssichtung,Fotonachweis vorhanden,2025,8
02.04.2025,Bad Leonfelden,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,9
27.03.2025,Oberhofen am Irrsee,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,10
26.03.2025,Grieskirchen,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,11
23.03.2025,Oberkappel,1 totes Reh,begutachtet - DNA-Probe: kein eindeutiges Ergebnis,2025,12
23.03.2025,Aigen-Schlägl,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt,2025,13
22.03.2025,Eberschwang,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,14
16.03.2025,Rohrbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt,2025,15
10.03.2025,Ulrichsberg,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,16
06.03.2025,Gramastetten,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,17
05.03.2025,Schwertberg,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,18
05.03.2025,St.Oswald bei Haslach,Wolfssichtung,Fotonachweis vorhanden,2025,19
05.03.2025,St.Oswald bei Haslach,Wolfssichtung,kein Fotonachweis vorhanden,2025,20
05.03.2025,St.Oswald bei Haslach,Wolfssichtung,Fotonachweis vorhanden,2025,21
05.03.2025,St.Oswald bei Haslach,Wolfssichtung,Fotonachweis vorhanden,2025,22
04.03.2025,St.Oswald bei Haslach,Wolfsvergrämung,,2025,23
04.03.2025,St.Oswald bei Haslach,Wolfssichtung,Fotonachweis vorhanden,2025,24
04.03.2025,Gramastetten,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,25
02.03.2025,Gosau,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,26
Februar/ März 2025,St.Oswald bei Haslach,Wolfssichtungen,Fotonachweise vorhanden,2025,27
19.02.2025,Rohrbach,Wolfsvergrämung,,2025,28
19.02.2025,Rohrbach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,29
16.02.2025,Liebenau,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,30
09.02.2025,St.Oswald bei Haslach,Wolfssichtung,Fotonachweis vorhanden,2025,31
06.02.2025,St.Oswald bei Haslach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,32
05.02.2025,Grein,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,33
30.01.2025,Freistadt,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,34
27.01.2025,Unterweißenbach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,35
26.01.2025,Unterweißenbach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,36
23.01.2025,St.Oswald bei Haslach,Wolfssichtung,Fotonachweis vorhanden,2025,37
20.01.2025/ 21.01.2025,Hörsching,mögliche Wolfssichtung / Losungsfund,kein Fotonachweis vorhanden / Probennahme von Losung enthält keine nachweisbare Raubtier-DNA,2025,38
16.01.2025,Spital am Pyhrn,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,39
10.01.2025,Gaflenz,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,40
09.01.2025,Pierbach,Nachweis,Fährte Hund oder Wolf,2025,41
07.01.2025,Schönau,Nachweis,Fährte Hund oder Wolf,2025,42
04.01.2025,Vöcklamarkt,Wolfssichtung,Fotonachweis vorhanden,2025,43
04.01.2025,Pierbach,Nachweis,Fährte Hund oder Wolf,2025,44
03.01.2025,Windhaag bei Freistadt,Wolfsvergrämung,,2025,45
02.01.2025,UnterweißenbachLiebenau,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,46
01.01.2025,Unterweißenbach,mögliche Wolfssichtung,kein Fotonachweis vorhanden,2025,47
01.01.2025,Schönau im Mühlkreis,Wolfsvergrämung,,2025,48
24.12.2024,Schwarzenberg am Böhmerwald,Wolfsichtung,Fotonachweis vorhanden,2024,49
23.12.2024,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2024,50
20.12.2024,Weyer,Wolfssichtung,kein Fotonachweis vorhanden,2024,51
15.12.2024,Freinberg,Nachweis,Fährte Hund oder Wolf,2024,52
12.12.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,53
06.12.2024,St.Konrad,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,54
05.12.2024,Unterweißenbach,Wolfsvergrämung,,2024,55
29.11.2024,Kopfing,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,56
23.11.2024,Losenstein,Wolfssichtung,Fotonachweis vorhanden,2024,57
22.11.2024,Leopoldschlag,Wolfssichtung,Videonachweis vorhanden,2024,58
19.11.2024,Straßham bei Alkoven,Wolfssichtungen,keine Fotonachweise vorhanden,2024,59
18.11.2024,Bad Schallerbach,Wolfssichtung,Videonachweis vorhanden,2024,60
17.11.2024,Gaflenz,Wolfssichtung,kein Fotonachweis vorhanden,2024,61
17.11.2024,Gaflenz,Wolfssichtung,kein Fotonachweis vorhanden,2024,62
16.11.2024,Ottnang am Hausruck,Wolfssichtung,kein Fotonachweis vorhanden,2024,63
13.11.2024,Aigen-Schlägl,Wolfssichtung,Fotonachweis vorhanden,2024,64
12.11.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,65
12.11.2024,Roßleithen,1 totes Stück Damwild,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,66
09.11.2024,Spital an der Phyrn,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,67
04.11.2024,Gmunden,Wolfssichtung,kein Fotonachweis vorhanden,2024,68
24.10.2024,Kirchschlag bei Linz,Wolfssichtung,kein Fotonachweis vorhanden,2024,69
11.10.2024,Rosenau am Hengstpass,1 totes Lamm,begutachtet - DNA- Analyse: Fuchs bestätigt,2024,70
09.10.2024,Rosenau am Hengstpaß,1 toter Rehbock,begutachtet - DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2024,71
02.10.2024,Leopoldschlag,Wolfssichtung,Fotonachweis vorhanden,2024,72
02.10.2024,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2024,73
01.10.2024,Bad Leonfelden,1 totes Schaf,begutachtet - DNA-Analyse: Hund bestätigt,2024,74
30.09.2024,Dimbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,75
30.09.2024,Oberwang,Wolfssichtung,kein Fotonachweis vorhanden,2024,76
28.09.2024,Bad Leonfelden,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,77
26.09.2024,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2024,78
20.09.2024,Ulrichsberg,Wolfssichtung,Fotonachweis vorhanden,2024,79
03.09.2024,Bad Zell,Wolfssichtung,kein Fotonachweis vorhanden,2024,80
02.09.2024,Rosenau am Hengstpaß,1 verletztes Rind,begutachtet - DNA-Probe: kein eindeutiges Ergebnis,2024,81
23.08.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,82
21.08.2024,Schlüßlberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,83
16.08.2024,St.Georgen am Walde,Wolfssichtung,Fotonachweis vorhanden,2024,84
03.08.2024 und 06.08.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,85
03.08.2024,Weyer,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,86
27.07.2024,Großraming,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,87
24.07.2024,Gaflenz,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,88
18.07.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,89
17.07.2024,Gaflenz,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,90
16.07.2024,Linz,1 totes Reh,begutachtet - DNA-Probe: kein eindeutiges Ergebnis,2024,91
14.07.2024,Redlham,Wolfssichtung,kein Fotonachweis vorhanden,2024,92
13.07.2024,Spital am Pyhrn,Wolfssichtung,kein Fotonachweis vorhanden,2024,93
12.07.2024,St.Leonhard bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,94
09.07.2024,Linz-Pichling,Sichtung und Losungsfund,Video vorhanden: Hund; Probennahme v. Losung - DNA-Analyse: Hund bestätigt,2024,95
04.07.2024,Ternberg,1 verletztes Rind,begutachtet - DNA-Analyse: Hund bestätigt,2024,96
01.07.2024,Linz,Wolfssichtung,kein Fotonachweis vorhanden,2024,97
24.06.2024,Tragwein,1 totes Reh,begutachtet; DNA-Probennahme nicht möglich,2024,98
21.06.2024,Aigen-Schlägl,Wolfssichtung,Fotonachweis vorhanden,2024,99
20.06.2024,St.Wolfgang/Schwarzensee,1 totes Schaf,begutachtet - DNA-Probe: kein eindeutiges Ergebnis,2024,100
18.06.2024,Spital am Pyhrn,Wolfssichtung,kein Fotonachweis vorhanden,2024,101
17.06.2024,Pühret,Wolfssichtung,kein Fotonachweis vorhanden,2024,102
16.06.2024,Gaflenz,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2024,103
06.06.2024,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2024,104
04.06.2024,Ottnang am Hausruck,1 totes Schaf,begutachtet - DNA-Probe: kein eindeutiges Ergebnis,2024,105
01.06.2024,Aurach am Hongar,Wolfssichtung,Fotonachweis vorhanden,2024,106
01.06.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,107
01.06.2024,Ulrichsberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,108
01.06.2024,Kefermarkt,Wolfssichtung,kein Fotonachweis vorhanden,2024,109
31.05.2024,Ottnang am Hausruck,Wolfssichtung,kein Fotonachweis vorhanden,2024,110
31.05.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,111
29.05.2024,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2024,112
29.05.2024,Linz,Wolfssichtung,kein Fotonachweis vorhanden,2024,113
29.05.2024,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2024,114
28.05.2024,Sandl,2 tote Schafe,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,115
27.05.2024,Ottenschlag im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,116
27.05.2024,Windhaag bei Freistadt,Wolfssichtung,Videonachweis vorhanden,2024,117
26.05.2024,Hellmonsödt,Wolfssichtung,kein Fotonachweis vorhanden,2024,118
24.05.2024,Gaflenz,Wolfssichtung,Fotonachweis vorhanden,2024,119
23.05.2024,Haibach im Mühlkreis,Wolfssichtungen,kein Fotonachweis vorhanden,2024,120
23.05.2024,Ottenschlag im Mühlkreis,Wolfssichtung,Fotonachweis vorhanden,2024,121
21.05.2024,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2024,122
17.05.2024,Oberneukirchen,Wolfssichtung,Fotonachweis vorhanden,2024,123
17.05.2024,Zwettl an der Rodl,Wolfssichtung,Fotonachweis vorhanden,2024,124
16.05.2024,Kirchberg ob der Donau,Wolfssichtung,Fotonachweis vorhanden,2024,125
12.05.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,126
11.05.2024,Altenberg bei Linz,Wolfssichtungen,kein Fotonachweis vorhanden,2024,127
10.05.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,128
10.05.2024,Gramastetten,Wolfssichtung,kein Fotonachweis vorhanden,2024,129
10.05.2024,Gaspoltshofen,Wolfssichtung,kein Fotonachweis vorhanden,2024,130
09.05.2024,Fornach,Wolfssichtung,Videonachweis vorhanden,2024,131
08.05.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,132
07.05.2024,Pühret,Wolfssichtung,Videonachweis vorhanden,2024,133
05.05.2024,Königswiesen,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,134
05.05.2024,Pfaffing,Wolfssichtung,Fotonachweis vorhanden,2024,135
04.05.2024,Pfaffing,Wolfssichtung,Fotonachweis vorhanden,2024,136
01.05.2024,Wippenham,Wolfssichtung,kein Fotonachweis vorhanden,2024,137
28.04.2024,Pierbach,Wolfssichtung,Fotonachweis vorhanden,2024,138
26.04.2024,Puchenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,139
26.04.2024,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2024,140
26.04.2024,Pierbach,Wolfssichtung,Fotonachweis vorhanden,2024,141
24.04.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,142
24.04.2024,Altenberg,1 totes Lamm,begutachtet; DNA-Analyse: Fuchs bestätigt,2024,143
23.04.2024,Leopoldschlag,1 totes Reh,begutachtet; DNA-Probennahme nicht möglich,2024,144
19.04.2024,Steinbach/Steyr,1 totes Schaf,begutachtet; DNA-Analyse: Fuchs bestätigt,2024,145
16.04.2024,Oberhofen am Irrsee,1 verletztes Pferd,begutachtet; DNA-Probennahme nicht möglich,2024,146
16.04.2024,Oberhofen am Irrsee,1 totes Reh,begutachtet; DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,147
15.04.2024,Senftenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,148
13.04.2024,Langenstein,Wolfssichtung,kein Fotonachweis vorhanden,2024,149
12.04.2024,Ulrichsberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,150
11.04.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,151
10.04.2024,Langenstein,Losungsfund,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,152
09.04.2024,Spital am Pyhrn,Wolfssichtung,kein Fotonachweis vorhanden,2024,153
08.04.2024,Langenstein,Wolfssichtung,kein Fotonachweis vorhanden,2024,154
08.04.2024,St.Georgen an der Gusen,Wolfssichtungen,Foto-bzw.Videonachweise vorhanden,2024,155
07.04.2024,Grünbach bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,156
07.04.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,157
07.04.2024,Münzbach,Wolfssichtung,Videonachweis vorhanden,2024,158
07.04.2024,Schwertberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,159
07.04.2024,Ried in der Riedmark,Wolfssichtung,kein Fotonachweis vorhanden,2024,160
07.04.2024,Engerwitzdorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,161
07.04.2024,Katsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,162
07.04.2024,St.Georgen an der Gusen,Wolfssichtung,kein Fotonachweis vorhanden,2024,163
06.04.2024,Feldkirchen an der Donau,Wolfssichtung,kein Fotonachweis vorhanden,2024,164
06.04.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,165
05.04.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,166
31.03.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,167
28.03.2024,Sarleinsbach u. Atzesberg,Losungsfunde,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,168
28.03.2024,Atzesberg,Wolfssichtung,Fotonachweis vorhanden,2024,169
26.03.2024,Sarleinsbach,Wolfssichtung,Fotonachweis vorhanden,2024,170
25.03.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,171
23.03.2024,Schlüßlberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,172
23.03.2024,Vorderweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,173
22.03.2024,Michaelnbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,174
19.03.2024,Alberndorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,175
18.03.2024,Ulrichsberg,Wolfssichtung,Fotonachweis vorhanden,2024,176
17.03.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,177
16.03.2024,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2024,178
15.03.2024,Steinbach am Ziehberg,Wolfssichtung,kein Fotonachweis vorhanden,2024,179
15.03.2024,Molln,2 totes Rotwildkälber,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,180
14.03.2024,Molln/Bodinggraben,Wolfssichtung,Fotonachweis vorhanden,2024,181
14.03.2024,Scharnstein,Wolfssichtung,Fotonachweis vorhanden,2024,182
05.03.2024,St.Leonhard bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,183
05.03.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,184
05.03.2024,Windhaag bei Freistadt,Wolfssichtung,kein Fotonachweis vorhanden,2024,185
03.03.2024,Kaltenberg,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,186
02.03.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,187
28.02.2024,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,188
27.02.2024,Engerwitzdorf,Wolfssichtung,kein Fotonachweis vorhanden,2024,189
26.02.2024,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,190
21.02.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,191
15.02.2024,Wartberg an der Krems,Wolfssichtung,kein Fotonachweis vorhanden,2024,192
13.02.2024,Oberneukirchen/Eidenberg,Wolfssichtung,Fotonachweis vorhanden,2024,193
11.02.2024,Pierbach,Losungsfund,DNA-Analyse: Fuchs bestätigt,2024,194
10.02.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,195
09.02.2024,Pierbach,Wolfssichtung,kein Fotonachweis vorhanden,2024,196
07.02.2024,Regau,Losungsfund,DNA-Analyse: Hund bestätigt,2024,197
06.02.2024,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2024,198
05.02.2024,Steinbach/Attersee,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,199
03.02.2024,Regau,Wolfssichtung,kein Fotonachweis vorhanden,2024,200
22.01.2024,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,201
17.01.2024,Haibach ob der Donau,Wolfssichtung,kein Fotonachweis vorhanden,2024,202
15.01.2024,Traunkirchen,Losungsfund,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2024,203
15.01.2024,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2024,204
09.01.2024,Obertraun,Wolfssichtung,kein Fotonachweis vorhanden,2024,205
05.01.2024,Klam b. Grein,Wolfssichtung,Videoaufnahme vorhanden,2024,206
05.01.2024,St.Ulrich im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2024,207
04.01.2024,Dornach (Ortsteil von Saxen),Wolfssichtung,kein Fotonachweis vorhanden,2024,208
02.01.2024,Redleiten,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2024,209
31.01.2023,Oepping,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,210
07.02.2023,Hellmonsödt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,211
08.02.2023,St.Georgen am Walde/Dimbach,Wolfssichtung,Fotonachweis über Fährte vorhanden,2023,212
11.02.2023,Leonding,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,213
11.02.2023,Rohrbach-Berg,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,214
13.02.2023,Neukirchen bei Lambach,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,215
13.02.2023,Wolfsegg a.H.,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,216
18.02.2023,Eberschwang,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;italienische Quellpopulation,2023,217
21.02.2023,Herzogsdorf,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,218
26.02.2023,Hofkirchen im Mühlkreis,Wolfssichtung,Fotonachweis vorhanden,2023,219
28.02.2023,Leopoldschlag,Wolfssichtungen,Fotonachweise über Fährten vorhanden,2023,220
01.03.2023,Gutau,Wolfssichtung,Foto-/Videonachweis vorhanden; Fotonachweise über Fährten vorhanden,2023,221
01.03.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,222
01.03.2023,Pregarten,Wolfssichtung,Videonachweis vorhanden,2023,223
04.03.2023,Tragwein/Allerheiligen im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2023,224
04.03.2023,Dimbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,225
05.03.2023,Münzbach,1 totes Reh,Verdacht auf Wolfsriss; keine abschließende Beurteilung durch DNA möglich,2023,226
06.03.2023,Herzogsdorf,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,227
09.03.2023,Gallneukirchen,Wolfssichtung,Fotonachweis vorhanden,2023,228
14.03.2023,Alberndorf in der Riedmark,Wolfssichtung,Videonachweis vorhanden,2023,229
14.03.2023,Alberndorf in der Riedmark,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,230
14.03.2023,Herzogsdorf,Wolfssichtung,Fotonachweis vorhanden,2023,231
16.03.2023,Pregarten,Wolfssichtung,Videonachweis vorhanden,2023,232
16.03.2023,Alberndorf in der Riedmark,Wolfssichtung,kein Fotonachweis vorhanden,2023,233
19.03.2023,Haibach im Mühlkreis,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,234
19.03.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,235
19.03.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,236
