Datum,Ort,Meldung,Status,Jahr,id
21.03.2023,Bad Kreuzen,1 totes Reh,Verdacht auf Wolfsriss; keine abschließende Beurteilung durch DNA möglich,2023,237
27.03.2023,Weitersfelden,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,238
28.03.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,239
28.03.2023,Gramastetten,"2 tote Altschafe,7 tote Lämmer,1 vermisstes Lamm",begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,240
30.03.2023,Walding,Wolfssichtungen,kein Fotonachweis vorhanden,2023,241
31.03.2023,Gutau,Wolfssichtung,kein Fotonachweis vorhanden,2023,242
31.03.2023,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2023,243
31.03.2023,Micheldorf,Losungsfund,DNA-Analyse: Hund bestätigt,2023,244
01.04.2023,Hinzenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,245
05.04.2023,Tiefgraben,"1 totes Altschaf, 1 totes Lamm",begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,246
06.04.2023,Gunskirchen,Wolfssichtung,kein Fotonachweis vorhanden,2023,247
07.04.2023,Alberndorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,248
08.04.2023,Hellmonsödt,Wolfssichtung,kein Fotonachweis vorhanden,2023,249
10.04.2023,Tragwein,Wolfssichtung,kein Fotonachweis vorhanden,2023,250
10.04.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: Hund bestätigt,2023,251
17.04.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,252
20.04.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,253
21.04.2023,Weitersfelden,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,254
25.04.2023,St.Leonhard bei Freistadt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,255
26.04.2023,Unterach am Attersee,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,256
01.05.2023,Neumarkt im Mühlkreis,Wolfssichtung,Videonachweis vorhanden,2023,257
02.05.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,258
02.05.2023,Liebenau,Wolfssichtungen,Foto-/Videonachweis vorhanden,2023,259
02.05.2023,Frankenburg,1 totes Reh,begutachtet - DNA-Analyse: Hund bestätigt,2023,260
03.05.2023,Holzhausen,Wolfssichtung,Fotonachweis vorhanden,2023,261
03.05.2023,Tragwein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,262
03.05.2023,Pötting,Wolfssichtung,Fotonachweis vorhanden,2023,263
03.05.2023,Bad Schallerbach,Wolfssichtung,Videonachweis vorhanden,2023,264
03.05.2023,Kirchberg-Thening,Wolfssichtungen,Videonachweis vorhanden,2023,265
04.05.2023,St.Leonhard bei Freistadt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,266
04.05.2023,Wallern an der Trattnach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt;nördliche Quellpopulation,2023,267
05.05.2023,Kirchberg-Thening,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,268
11.05.2023,Straß im Attergau,1 totes Reh,begutachtet - DNA-Analyse: keine abschließende Beurteilung durch DNA möglich,2023,269
11.05.2023,Waldhausen,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,270
12.05.2023,St.Magdalena (Linz),1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,271
13.05.2023,Wels,Wolfssichtung,kein Fotonachweis vorhanden,2023,272
15.05.2023,Allerheiligen im Mühlkreis,1 totes Reh,begutachtet - DNA-Analyse: keine abschließende Beurteilung durch DNA möglich,2023,273
15.05.2023,Waldzell,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,274
16.05.2023,Peilstein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,275
18.05.2023,Bad Leonfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,276
19.05.2023,Leopoldschlag,Wolfssichtungen,kein Fotonachweis vorhanden,2023,277
20.05.2023,Reichenthal,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,278
26.05.2023,Scharnstein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,279
28.05.2023,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2023,280
31.05.2023,St.Thomas am Blasenstein,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,281
05.06.2023,Walding,Wolfssichtung,kein Fotonachweis vorhanden,2023,282
07.06.2023,Walding,200 Masthühner,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,283
08.06.2023,Gmunden/Grünberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,284
15.06.2023,Pabneukirchen,Wolfssichtung,kein Fotonachweis vorhanden,2023,285
15.06.2023,Laussa,3 tote Hühner,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,286
23.06.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,287
23.06.2023,Lichtenberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,288
25.06.2023,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2023,289
26.06.2023,Gosau,Wolfssichtung,kein Fotonachweis vorhanden,2023,290
03.07.2023,Walding,Wolfssichtung,kein Fotonachweis vorhanden,2023,291
05.07.2023,Weyer,1 totes Kalb,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,292
06.07.2023,Spital am Pyhrn,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,293
06.07.2023,Molln,Übergriff auf Rinderherde,begutachtet - DNA-Analyse: Hund bestätigt,2023,294
08.07.2023,Liebenau,Wolfssichtung,Foto-/Videonachweis vorhanden,2023,295
10.07.2023,Molln,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,296
14.07.2023,Feldkirchen bei Mattighofen,Wolfssichtung,kein Fotonachweis vorhanden,2023,297
22.07.2023,St.Wolfgang,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,298
27.07.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,299
28.07.2023,Lichtenberg,Wolfssichtung,kein Fotonachweis vorhanden,2023,300
31.07.2023,St.Georgen am Walde,1 totes Schaf,begutachtet - DNA-Analyse: Hund bestätigt,2023,301
01.08.2023,Hinterstoder,Wolfssichtung,kein Fotonachweis vorhanden,2023,302
09.08.2023 bis 11.08.2023,Unterweißenbach,Wolfssichtungen,kein Fotonachweis vorhanden,2023,303
11.08.2023,Katsdorf,3 verletzte Pferde,begutachtet - DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2023,304
13.08.2023,Unterweißenbach,Wolfssichtungen,kein Fotonachweis vorhanden,2023,305
16.08.2023,Lembach,"13 tote Hühner, 7 vermisste Hühner",begutachtet - DNA-Analyse: Fuchs bestätigt,2023,306
16.08.2023,Dachstein/Krippenstein,"9 tote Schafe,2 verletzte Schafe",begutachtet - Wolf bestätigt,2023,307
21.08.2023,Neumarkt im Mühlkreis,1 totes Schaf,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,308
25.08.2023,Dachstein/Krippenstein,1 verletztes Schaf,Bildnachweis eines verletzten Schafes,2023,309
26.08.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,310
07.09. - 10.09.2023,Katsdorf,2 verletzte Pferde,keine Begutachtung möglich,2023,311
12.09.2023,Katsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,312
14.09.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,313
14.09.2023,Unterweißenbach,Wolfssichtung,Fotonachweis über Trittsiegel vorhanden,2023,314
18.09.2023,Altenberg,1 totes Lamm,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,315
18.09.2023,St.Leonhard,2 verletzte Rinder,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,316
18.09.2023,Molln,3 tote Schafe1 verletztes Schaf,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2023,317
22.09.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,318
24.09.2023,Kefermarkt,Wolfssichtung,Videonachweis vorhanden,2023,319
24.09.2023,Altmünster/Ebensee,Sichtung Hund/Wolf,aufgrund von Fotonachweis keine eindeutige Zuordnung möglich,2023,320
24.09.2023,St.Marienkirchen an der Polsenz/Prambachkirchen,Wolfssichtung,kein Fotonachweis vorhanden,2023,321
02.10.2023,Alkoven,Sichtung Hund/Wolf,aufgrund von Fotonachweis keine eindeutige Zuordnung möglich,2023,322
04.10.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,323
05.10.2023,Arnreit,Wolfssichtung,kein Fotonachweis vorhanden,2023,324
12.10.2023,Unterweißenbach,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,325
16.10.2023,Engerwitzdorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,326
19.10.2023,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2023,327
25.10.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,328
26.10.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,329
27.10.2023,Schönau im Mühlkreis,Wolfssichtung,kein Fotonachweis vorhanden,2023,330
28.10.2023,St.Leonhard bei Freistadt,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,331
29.10.2023,Unterweißenbach,Wolfssichtungen,kein Fotonachweis vorhanden,2023,332
30.10.2023,Unterweißenbach,Losungsfund,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2023,333
03.11.2023,Eberschwang,Wolfssichtung,keine Fotonachweis vorhanden,2023,334
04.11.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,335
08.11.2023,Neußerling,Wolfssichtung,kein Fotonachweis vorhanden,2023,336
09.11.2023,Maria-Neustift,1 totes Rinderkalb,begutachtet - DNA-Analyse nicht eindeutig; weitere Analysen werden durchgeführt,2023,337
09.11.2023,Pabneukirchen,1 totes Reh,begutachtet - DNA-Probe enthält keine nachweisbare Raubtier-DNA,2023,338
10.11.2023,Schönau,Wolfssichtung,kein Fotonachweis vorhanden,2023,339
10.11.2023,Bad Kreuzen,Wolfssichtung,kein Fotonachweis vorhanden,2023,340
11.11.2023,Obertraun,Wolfssichtung,kein Fotonachweis vorhanden,2023,341
14.11.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,342
16.11.2023,Tragwein,Wolfssichtung,kein Fotonachweis vorhanden,2023,343
17.11.2023,Bad Zell,Wolfssichtungen,kein Fotonachweis vorhanden,2023,344
19.11.2023,Weitersfelden,Wolfssichtung,Fotonachweis vorhanden,2023,345
19.11.2023,Waldhausen im Strudengau,Wolfssichtung,Fotonachweis vorhanden,2023,346
21.11.2023,Bad Kreuzen,Wolfssichtung,kein Fotonachweis vorhanden,2023,347
22.11.2023,Königswiesen,Wolfssichtung,kein Fotonachweis vorhanden,2023,348
24.11.2023,Leopoldschlag,Wolfssichtungen,kein Fotonachweis vorhanden,2023,349
25.11.2023,Micheldorf,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,350
25.11.2023,St.Georgen am Walde,1 totes Alpaka,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,351
25.11.2023,Bad Kreuzen,Wolfssichtung,Fotonachweis vorhanden,2023,352
29.11.2023,Bad Kreuzen,Wolfssichtung,Fotonachweis vorhanden,2023,353
04.12.2023,Unterweißenbach,1 totes Reh,Verdacht auf Wolfsriss; keine Beurteilung durch DNA möglich,2023,354
04.12.2023,Dimbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,355
12.12.2023,Lasberg,1 totes Reh,keine Beurteilung durch DNA möglich,2023,356
17.12.2023,Weitersfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,357
17.12.2023,Katsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2023,358
18.12.2023,Schörfling am Attersee,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2023,359
20.12.2023,Ansfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,360
20.12.2023,Katsdorf,2 verletzte Pferde,Verdacht auf Wolfsriss - DNA-Analyse: Hund bestätigt,2023,361
20.12.2023,Weitersfelden,Wolfssichtung,kein Fotonachweis vorhanden,2023,362
23.12.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,363
24.12.2023,Unterweißenbach,Wolfssichtung,kein Fotonachweis vorhanden,2023,364
19.01.2022,Stiegersdorf/Wullowitz,Wolfssichtung,Fährten vorhanden,2022,365
21.01.2022,Schnürberg/Kopfing,Wolfssichtung,Beobachtung,2022,366
30.01.2022,Sandl,1 totes Schmaltier,begutachtet - DNA-Entnahme nicht möglich,2022,367
21.02.2022,Sandl,Wolfssichtung,kein Fotonachweis vorhanden,2022,368
22.02.2022,Rainbach im Mühlkreis,Wolfssichtungen,Fotonachweis/Videoaufzeichnung vorhanden,2022,369
22.02.2022,Weitersfelden/Liebenau,Wolfssichtung,Fotonachweis vorhanden,2022,370
22.02.2022,Leopoldschlag/Eisenhut,Wolfssichtung,Fotonachweis vorhanden,2022,371
24.02.2022,Liebenau,Wolfssichtungen,Fotonachweis/Videoaufzeichnung vorhanden,2022,372
24.02.2022,Liebenau/Windhagmühl,Wolfssichtung,Fotonachweis/Videoaufzeichnung vorhanden,2022,373
25.02.2022,Windhaag b. Freistadt,Wolfssichtungen,Fotonachweis vorhanden,2022,374
27.02.2022,Lasberg,2 tote Gänse,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2022,375
07.03.2022,Liebenau/Neustift,Wolfssichtung,Fotonachweis vorhanden,2022,376
25.03.2022,St. Thomas am Blasenstein,Wolfssichtung,Fotonachweis vorhanden,2022,377
31.03.2022,Sarleinsbach,Wolfssichtung,Fotonachweis/Videoaufzeichnung vorhanden,2022,378
11.04.2022,Aigen/Schlägl,1 totes Alttier (Rotwild),begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2022,379
17.04.2022,Liebenau,1 totes Reh,begutachtet -DNA-Entnahme nicht möglich,2022,380
20.04.2022/21.04.2022,Aigen/Schlägl,Wolfssichtung,Fotonachweis vorhanden,2022,381
29.04.2022,Lichtenau im Mühlkreis (Hörleinsödt),1 verschwundenes Kamerunschaf2 tote Kamerunschafe,begutachtet -DNA-Entnahme nicht möglich,2022,382
29.04.2022,Liebenau,1 totes Rotwild,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2022,383
30.04.2022,Lichtenau im Mühlkreis (Hörleinsödt),Wolfssichtung,Fotonachweis vorhanden,2022,384
06.05.2022,Dimbach,Losungsfund,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2022,385
13.05.2022,Perwang am Grabensee,Wolfssichtung,kein Fotonachweis vorhanden,2022,386
05.06.2022,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,387
22.06.2022,Leopoldschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,388
09.07.2022,Liebenau,1 totes Reh,Begutachtung nicht möglich,2022,389
21.07.2022,Steinbach am Attersee,1 totes Kitz,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,390
01.08.2022,Ternberg,2 tote Lämmer,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2022,391
02.09.2022,Großraming,1 totes Kitz,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,392
02.09.2022,Bad Goisern,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,393
06.09.2022,Liebenau,Wolfssichtung,kein Fotonachweis vorhanden,2022,394
11.09.2022,Mardetschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,395
23.09.2022,Vorderstoder,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,396
24.09.2022/25.09.2022,St. Georgen am Walde,Wolfssichtung,Fotonachweis vorhanden,2022,397
03.10.2022,Alberndorf in der Riedmark,Wolfssichtungen,kein Fotonachweis vorhanden,2022,398
18.10.2022,Alberndorf in der Riedmark,Wolfssichtung,kein Fotonachweis vorhanden,2022,399
22.10.2022,Spital am Pyhrn,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,400
24.10.2022,Leopoldschlag,Wolfssichtung,Wolfssichtung,2022,401
04.11.2022,Weitersfelden,Wolfssichtung,kein Fotonachweis vorhanden,2022,402
20.11.2022,Grenzgebiet Steiermark/Oberösterreich(Bezirk Gmunden/Kirchdorf),Wolfssichtung,,2022,403
21.11.2022,St. Lorenz,Wolfssichtung,Fotonachweis vorhanden,2022,404
24.11.2022,Großraming,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,405
25.11.2022,Molln,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,406
28.11.2022,Kirchschlag bei Linz,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2022,407
29.11.2022,St.Lorenz,Wolfssichtung,kein Fotonachweis vorhanden,2022,408
30.11.2022,Molln,1 totes Schaf,begutachtet DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2022,409
02.12.2022,Leonstein,1 totes Schaf,begutachtet DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2022,410
03.12.2022,Herzogsdorf,Wolfssichtung,kein Fotonachweis vorhanden,2022,411
03.12.2022,Molln,1 totes Reh,begutachtet - DNA-Analyse: Luchs bestätigt,2022,412
07.12.2022,Traunkirchen,1 totes Reh,begutachtet - DNA-Analyse nicht auswertbar,2022,413
08.12.2022,Waldhausen,1 totes Reh,begutachtet DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2022,414
09.12.2022,Mardetschlag,Wolfssichtung,kein Fotonachweis vorhanden,2022,415
12.12.2022,Lasberg,Wolfssichtung,kein Fotonachweis vorhanden,2022,416
12.12.2022,Ulrichsberg,Wolfssichtung,kein Fotonachweis vorhanden,2022,417
28.12.2022,Fornach,Wolfssichtung/Wildkamera,Fotonachweis vorhanden,2022,418
28.12.2022,Fornach,1 totes Reh,begutachtet DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2022,419
26.04.2021,Weyer,1 totes Rotwild,DNA-Analyse:Wolf bestätigt,2021,420
11.06.2021,Hengstpass/Karlhütte,Wolfssichtung,kein Fotonachweis vorhanden,2021,421
12.06.2021,Gr. Phyrgas/Hofersteig,Wolfssichtung,kein Fotonachweis vorhanden,2021,422
14.06.2021,"Unterach ""Druckerhof"" Eglsee",Wolfssichtung,kein Fotonachweis vorhanden,2021,423
02.07.2021,Unterburgau bei Unterach bzw. St. Gilgen,Wolfssichtung,kein Fotonachweis vorhanden,2021,424
14.07.2021,Kefermarkt,Wolfssichtung,kein Fotonachweis vorhanden,2021,425
14.07.2021,Weyer,1 totes Rotwild,begutachtet - DNA-Entnahme nicht möglich,2021,426
15.07.2021,Gutau,2 tote Schafe,begutachtet - DNA-Entnahme nicht möglich,2021,427
16.07.2021,Egglalm/Hengstpass,Kratzspuren an einem Jungrind,DNA-Analyse: Wolf bestätigt; italienische Quellpopulation,2021,428
21.07.2021,Gosau,1 totes Kalb,begutachtet - DNA-Analyse: kein eindeutiges Ergebnis,2021,429
21.07.2021,St. Lorenz,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,430
23.07.2021,Prendt,1 totes Schmaltier,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2021,431
24.07.2021,Helfenberg,1 toter Wolf,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2021,432
03.08.2021,"Gemeinde Engerwitzdorf, Ortschaft Haid",Wolfssichtung,kein Fotonachweis vorhanden,2021,433
24.08.2021,Hirschbach,1 toter Rehbock,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,434
24.08.2021 u. 26.08.2021,Westseite Hochsur/Südseite Hengstpass,Wolfssichtung,Fotonachweis vorhanden,2021,435
17.09.2021,Bad Goisern,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,436
18.09.2021,"Vorderstoder, Schafferteich",Wolfssichtung,kein Fotonachweis vorhanden,2021,437
September 2021,Aigen im Mühlkreis,Losungsfunde,DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2021,438
28.09.2021,Schörfling,1 totes Lamm,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,439
05.10.2021,Pierbach,1 totes Schaf,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,440
08.10.2021,Weyer,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,441
11.10.2021,Steinbach am Ziehberg,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,442
13.10.2021,Ebensee,Losungsfunde,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,443
17.10.2021,Weitersfelden,1 totes Kalb,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,444
29.10.2021,Liebenau,1 totes Rotwildkalb,begutachtet - DNA-Analyse: Wolf bestätigt; nördliche Quellpopulation,2021,445
22.12.2021,Ebensee,1 totes Schaf,begutachtet - DNA-Analyse:  kein eindeutiges Ergebnis,2021,446
25.12.2021,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2021,447
28.12.2021,Liebenau,Wolfssichtung,Fotonachweis vorhanden,2021,448
29.12.2021,Unterweißenbach,Wolfssichtung,Fotonachweis vorhanden,2021,449
29.12.2021,Saxen,1 totes Reh,begutachtet - DNA-Analyse: Fuchs bestätigt,2021,450
29.12.2021,Liebenau,Wolfssichtung,Fotonachweis/Fährten vorhanden,2021,451
08.01.2020,Weyer,1 totes Reh,DNA-Analyse:Wolf bestätigt,2020,452
13.05.2020,Vorderstoder,1 tote Rehgeiß,DNA-Analyse:Wolf bestätigt,2020,453
30.05.2020,Steyrling,2 tote Stk. Rotwild,DNA-Analyse:Wolf bestätigt,2020,454
01.06.2020,Unterach/Attersee,1 totes Schaf1 totes Lamm,DNA-Analyse:Wolf bestätigt,2020,455
03.06.2020,Gmunden,1 totes Schaf,DNA-Analyse:Wolf bestätigt,2020,456
05.06.2020,Kirchham,1 totes Schmalreh,DNA-Analyse:Wolf bestätigt,2020,457
